Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Setting/Major/Edit major/Desc""), ""Test major edit baru"")",Chrome 110.0.0.0,,,2023-02-10 12:16:40,2023-02-10 12:16:41,1.038s,PASSED
"click(findTestObject(""Setting/Major/Edit major/Submit button""))",Chrome 110.0.0.0,,,2023-02-10 12:16:41,2023-02-10 12:16:43,1.644s,PASSED
,,,,,,,
Test Cases/Setting/TC25_Edit major tanpa mengisi form,Chrome 110.0.0.0,,,2023-02-10 12:16:43,2023-02-10 12:16:53,10.422s,PASSED
"click(findTestObject(""Setting/Major/Edit major/Major""))",Chrome 110.0.0.0,,,2023-02-10 12:16:44,2023-02-10 12:16:48,3.960s,PASSED
"setText(findTestObject(""Setting/Major/Edit major/Search""), "" edit baru"")",Chrome 110.0.0.0,,,2023-02-10 12:16:48,2023-02-10 12:16:49,1.070s,PASSED
"click(findTestObject(""Setting/Major/Edit major/Edit button""))",Chrome 110.0.0.0,,,2023-02-10 12:16:49,2023-02-10 12:16:51,2.032s,PASSED
"clearText(findTestObject(""Setting/Major/Edit major/Major title""))",Chrome 110.0.0.0,,,2023-02-10 12:16:51,2023-02-10 12:16:52,0.666s,PASSED
"clearText(findTestObject(""Setting/Major/Edit major/Desc""))",Chrome 110.0.0.0,,,2023-02-10 12:16:52,2023-02-10 12:16:53,0.875s,PASSED
"click(findTestObject(""Setting/Major/Edit major/Submit button""))",Chrome 110.0.0.0,,,2023-02-10 12:16:53,2023-02-10 12:16:53,0.579s,PASSED
,,,,,,,
Test Cases/Setting/TC26_Delete major,Chrome 110.0.0.0,,,2023-02-10 12:16:53,2023-02-10 12:17:00,6.361s,PASSED
"click(findTestObject(""Setting/Major/Delete major/Major""))",Chrome 110.0.0.0,,,2023-02-10 12:16:55,2023-02-10 12:16:56,1.196s,PASSED
"setText(findTestObject(""Setting/Major/Delete major/Search""), ""delete"")",Chrome 110.0.0.0,,,2023-02-10 12:16:56,2023-02-10 12:16:57,1.135s,PASSED
"click(findTestObject(""z test/Delete3/Delete button major""))",Chrome 110.0.0.0,,,2023-02-10 12:16:57,2023-02-10 12:16:58,0.649s,PASSED
"click(findTestObject(""Setting/Major/Delete major/Yes button""))",Chrome 110.0.0.0,,,2023-02-10 12:16:58,2023-02-10 12:17:00,1.793s,PASSED
,,,,,,,
Test Cases/Lecturer/TC27_Add lecturer,Chrome 110.0.0.0,,,2023-02-10 12:17:00,2023-02-10 12:17:09,9.459s,PASSED
"click(findTestObject(""Lecturer/Add Lecturer/Lecturer""))",Chrome 110.0.0.0,,,2023-02-10 12:17:01,2023-02-10 12:17:05,3.659s,PASSED
"click(findTestObject(""Lecturer/Add Lecturer/Add Data""))",Chrome 110.0.0.0,,,2023-02-10 12:17:05,2023-02-10 12:17:06,1.233s,PASSED
"verifyElementText(findTestObject(""Lecturer/Add Lecturer/Create Lecturer""), ""Create Lecturer"")",Chrome 110.0.0.0,,,2023-02-10 12:17:06,2023-02-10 12:17:07,0.511s,PASSED
"setText(findTestObject(""Lecturer/Add Lecturer/Lecture name""), ""testdosen"")",Chrome 110.0.0.0,,,2023-02-10 12:17:07,2023-02-10 12:17:08,1.001s,PASSED
"click(findTestObject(""Lecturer/Add Lecturer/Submit button""))",Chrome 110.0.0.0,,,2023-02-10 12:17:08,2023-02-10 12:17:09,1.707s,PASSED
,,,,,,,
Test Cases/Lecturer/TC28_Add lecturer tanpa mengisi form,Chrome 110.0.0.0,,,2023-02-10 12:17:09,2023-02-10 12:17:17,7.314s,PASSED
"click(findTestObject(""Lecturer/Add Lecturer/Lecturer""))",Chrome 110.0.0.0,,,2023-02-10 12:17:11,2023-02-10 12:17:14,3.693s,PASSED
"click(findTestObject(""Lecturer/Add Lecturer/Add Data""))",Chrome 110.0.0.0,,,2023-02-10 12:17:14,2023-02-10 12:17:15,1.115s,PASSED
"verifyElementText(findTestObject(""Lecturer/Add Lecturer/Create Lecturer""), ""Create Lecturer"")",Chrome 110.0.0.0,,,2023-02-10 12:17:15,2023-02-10 12:17:16,0.574s,PASSED
"click(findTestObject(""Lecturer/Add Lecturer/Submit button""))",Chrome 110.0.0.0,,,2023-02-10 12:17:16,2023-02-10 12:17:16,0.553s,PASSED
back(),Chrome 110.0.0.0,,,2023-02-10 12:17:16,2023-02-10 12:17:17,0.103s,PASSED
,,,,,,,
Test Cases/Lecturer/TC29_View lecturer,Chrome 110.0.0.0,,,2023-02-10 12:17:17,2023-02-10 12:17:20,3.444s,PASSED
"setText(findTestObject(""Lecturer/View lecturer/Search""), ""adnan"")",Chrome 110.0.0.0,,,2023-02-10 12:17:18,2023-02-10 12:17:19,1.046s,PASSED
